watches accessories,https://www.macys.com/shop/product/kate-spade-new-york-womens-park-row-pink-leather-strap-watch-34mm-ksw1325?ID=4647436&CategoryID=28067#fn=SPECIAL_OFFERS%3DClearance%2FCloseout%3B%3BLast%20Act%3B%3BSales%20&amp;%20Discounts%26GENDER%3DWomen%26BRAND%3Dkate
watches accessories,https://www.macys.com/shop/product/kate-spade-new-york-womens-park-row-black-leather-strap-watch-34mm-ksw1269?ID=4431831&CategoryID=28067#fn=SPECIAL_OFFERS%3DClearance%2FCloseout%3B%3BLast%20Act%3B%3BSales%20&amp;%20Discounts%26GENDER%3DWomen%26BRAND%3Dkat
sandal shoes,https://www.macys.com/shop/product/steven-by-steve-madden-greece-sandals?ID=5370465&CategoryID=59899#fn=PRICE%3D50.0%7C100.0%26SIZE%3D%26sp%3D1%26spc%3D29%26ruleId%3D3%7CBOOST%20ATTRIBUTE%26searchPass%3DmatchNone%26slotId%3D13
sandal shoes,https://www.macys.com/shop/product/steven-by-steve-madden-foreva-block-heel-sandals?ID=6640154&CategoryID=59899&experience=responsive&pdpserver=internal#fn=PRICE%3D50.0%7C100.0%26SIZE%3D%26sp%3D1%26spc%3D29%26ruleId%3D3%7CBOOST%20ATTRIBUTE%26searchPass%3DmatchNone%26slotId%3D1
earings,https://www.macys.com/shop/product/thalia-sodi-gold-tone-tassel-chain-linear-earrings-created-for-macys?ID=2875161&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zPDP_ZONE_A~xcm_choiceId~zcidM05MDR-bec1734a-bde0-4f71-afed-ab49ea4f7c12%40H7%40customers%2Balso%2Bshopped%2455285%242875161~xcm_pos~zPos3~xcm_srcCatID~z544
earings,https://www.macys.com/shop/product/thalia-sodi-gold-tone-snake-chain-fringe-drop-earrings-created-for-macys?ID=5936145&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zPDP_ZONE_A~xcm_choiceId~zcidM05MDR-221eda90-9814-48a4-a4ed-f39a5a0b8559%40H7%40customers%2Balso%2Bshopped%2455285%245936145~xcm_pos~zPos1~xcm_srcCatID~z544
earings,https://www.macys.com/shop/product/thalia-sodi-silver-tone-pave-drop-earrings-created-for-macys?ID=4960277&CategoryID=22000#fn=SPECIAL_OFFERS%3DClearance%2FCloseout%26BRAND%3DThalia%20Sodi%26SIZE%3D%26sp%3D1%26spc%3D3874%26ruleId%3D105%7CBOOST%20SAVED%20SET%26searchPass%3DmatchNone%26slotId%3D24
earings,https://www.macys.com/shop/product/thalia-sodi-silver-tone-fringe-linear-drop-earrings-created-for-macys?ID=5014674&CategoryID=22000#fn=SPECIAL_OFFERS%3DClearance%2FCloseout%26BRAND%3DThalia%20Sodi%26SIZE%3D%26sp%3D1%26spc%3D3874%26ruleId%3D105%7CBOOST%20SAVED%20SET%26searchPass%3DmatchNone%26slotId%3D14
earings,https://www.macys.com/shop/product/thalia-sodi-gold-tone-bead-graduated-drop-hoop-earrings-created-for-macys?ID=5905519&CategoryID=22000#fn=SPECIAL_OFFERS%3DClearance%2FCloseout%26BRAND%3DThalia%20Sodi%26SIZE%3D%26sp%3D1%26spc%3D3874%26ruleId%3D105%7CBOOST%20SAVED%20SET%26searchPass%3DmatchNone%26slotId%3D7
earings,https://www.macys.com/shop/product/thalia-sodi-gold-tone-twist-hoop-earrings-created-for-macys?ID=5905523&CategoryID=22000#fn=SPECIAL_OFFERS%3DClearance%2FCloseout%26BRAND%3DThalia%20Sodi%26SIZE%3D%26sp%3D1%26spc%3D3874%26ruleId%3D105%7CBOOST%20SAVED%20SET%26searchPass%3DmatchNone%26slotId%3D6
earings,https://www.macys.com/shop/product/thalia-sodi-gold-tone-stone-triple-row-linear-drop-earrings-created-for-macys?ID=5905521&CategoryID=22000#fn=SPECIAL_OFFERS%3DClearance%2FCloseout%26BRAND%3DThalia%20Sodi%26SIZE%3D%26sp%3D1%26spc%3D3874%26ruleId%3D105%7CBOOST%20SAVED%20SET%26searchPass%3DmatchNone%26slotId%3D12
earings,https://www.macys.com/shop/product/thalia-sodi-gold-tone-textured-double-row-hoop-earrings-created-for-macys?ID=5905525&CategoryID=22000#fn=SPECIAL_OFFERS%3DClearance%2FCloseout%26SIZE%3D%26sp%3D1%26spc%3D3874%26ruleId%3D105%7CBOOST%20SAVED%20SET%26searchPass%3DmatchNone%26slotId%3D3
sandal shoes,https://www.macys.com/shop/product/dkny-greyson-mules-created-for-macys?ID=6016844&CategoryID=138271#fn=BRAND%3DDKNY%26SIZE%3D%26sp%3D1%26spc%3D105%26ruleId%3D78%7CBOOST%20SAVED%20SET%7CBOOST%20ATTRIBUTE%26searchPass%3DmatchNone%26slotId%3D2
sandal shoes,https://www.macys.com/shop/product/dkny-biza-shooties-created-for-macys?ID=6417629&CategoryID=138271#fn=BRAND%3DDKNY%26SIZE%3D%26sp%3D1%26spc%3D105%26ruleId%3D78%7CBOOST%20SAVED%20SET%7CBOOST%20ATTRIBUTE%26searchPass%3DmatchNone%26slotId%3D4
sandal shoes,https://www.macys.com/shop/product/dkny-bren-ankle-strap-sandals-created-for-macys?ID=6417630&CategoryID=138271#fn=BRAND%3DDKNY%26SIZE%3D%26sp%3D1%26spc%3D105%26ruleId%3D78%7CBOOST%20SAVED%20SET%7CBOOST%20ATTRIBUTE%26searchPass%3DmatchNone%26slotId%3D8
sandal shoes,https://www.macys.com/shop/product/dkny-bell-slingback-sandals-created-for-macys?ID=6417634&CategoryID=138271#fn=BRAND%3DDKNY%26SIZE%3D%26sp%3D1%26spc%3D105%26ruleId%3D78%7CBOOST%20SAVED%20SET%7CBOOST%20ATTRIBUTE%26searchPass%3DmatchNone%26slotId%3D1
